id1,id2,name_jaccard_3gram,name_token_jaccard,num_overlap,pack_type_eq,pack_mat_eq,net_close,match_score,weak_label
2610,6016,0.7741935483870968,0.7142857142857143,0.0,0,0,0,0.7347544263275825,
1295,7961,1.0,1.0,0.0,0,0,0,0.9964266230576636,
1044,4178,0.7083333333333334,0.8,1.0,1,0,0,0.9055337745258842,
3468,3795,0.3793103448275862,0.42857142857142855,0.0,0,0,0,0.0053492709237426056,
3182,3209,1.0,1.0,0.0,1,0,0,0.99868016311932,1.0
3058,5617,1.0,1.0,0.0,0,0,0,0.9964266230576636,
4460,4580,1.0,1.0,0.0,1,0,0,0.99868016311932,1.0
2175,3055,1.0,1.0,0.0,1,1,0,0.9997259201300351,1.0
3765,3789,0.6857142857142857,0.7142857142857143,1.0,1,1,0,0.9471161273160364,
3262,7110,0.5882352941176471,0.6,0.0,0,0,0,0.148142128528821,
4102,6592,1.0,1.0,0.0,1,0,0,0.99868016311932,1.0
5872,5951,0.4375,0.42857142857142855,0.0,0,0,0,0.009344500992139753,
2171,6319,1.0,1.0,0.0,1,0,0,0.99868016311932,1.0
2880,4564,1.0,1.0,0.0,1,0,0,0.99868016311932,1.0
2725,6905,1.0,1.0,0.0,0,0,0,0.9964266230576636,
3097,3101,1.0,1.0,0.0,1,0,0,0.99868016311932,1.0
6544,7512,0.6428571428571429,0.5,0.0,0,0,0,0.1117618740103124,
3502,4318,0.8627450980392157,0.8,0.0,0,0,0,0.9310764563126747,
8979,8981,1.0,1.0,0.0,0,0,0,0.9964266230576636,
478,3393,1.0,1.0,0.0,0,1,0,0.9992566165441318,1.0
5139,5807,1.0,1.0,0.0,0,0,0,0.9964266230576636,
5787,8472,1.0,1.0,0.0,0,0,0,0.9964266230576636,
2164,3835,1.0,1.0,0.0,1,0,0,0.99868016311932,1.0
1401,7983,1.0,1.0,0.0,1,1,0,0.9997259201300351,1.0
2869,2870,1.0,1.0,0.0,0,1,0,0.9992566165441318,1.0
7519,7569,1.0,1.0,0.0,1,0,0,0.99868016311932,1.0
1650,2833,0.625,0.6,0.0,0,0,0,0.19872783447034845,
2493,4276,0.7586206896551724,0.5714285714285714,0.0,0,0,0,0.414053193876332,
115,308,1.0,1.0,1.0,1,0,0,0.998863349399516,1.0
4645,5649,0.8205128205128205,0.75,0.0,0,0,0,0.8544645671323656,
650,652,0.75,0.6666666666666666,0.0,1,0,0,0.7987162739273934,
6243,6244,1.0,1.0,0.0,0,1,0,0.9992566165441318,1.0
2881,5324,1.0,1.0,0.0,1,1,0,0.9997259201300351,1.0
7234,7585,1.0,1.0,0.0,1,0,0,0.99868016311932,1.0
3311,4908,0.6666666666666666,0.6,0.0,1,0,0,0.5015779254521947,
1709,7577,1.0,1.0,0.0,1,0,0,0.99868016311932,1.0
1590,5411,1.0,1.0,0.0,0,1,0,0.9992566165441318,1.0
575,1232,1.0,1.0,0.0,0,0,0,0.9964266230576636,
2684,4221,1.0,1.0,0.0,0,1,0,0.9992566165441318,1.0
